"";"author";"title";"date";"filename";"century";"words";"lemma_quantity";"normalized_lemma_quantity";"16th_century_mean_similarity";"17th_century_mean_similarity";"18th_century_mean_similarity";"19th_century_mean_similarity";"20th_century_mean_similarity"
"38";"Antonio José da Silva";"Anfitriao ou Jupiter e Alcmena";"1736";"silva1736.txt";"18th Century";"25042";"2063";"0.08238159891382478";"0.4991666666666667";"0.5055555555555556";"0.576923076923077";"0.5127777777777779";"0.5092307692307693"
"39";"Antonio José da Silva";"O Labirinto de Creta";"1736";"silva1736b.txt";"18th Century";"30050";"2449";"0.08149750415973378";"0.4833333333333334";"0.4772222222222222";"0.5707692307692308";"0.49222222222222217";"0.48846153846153856"
"40";"Antonio José da Silva";"As Verdades de Proteu";"1737";"silva1737.txt";"18th Century";"16153";"1775";"0.10988670835138983";"0.4749999999999999";"0.4672222222222222";"0.56";"0.4922222222222221";"0.4815384615384615"
"41";"Antonio José da Silva";"Guerras do Alecrim e da Manjerona";"1737";"silva1737b.txt";"18th Century";"23096";"2183";"0.09451853134741947";"0.5216666666666666";"0.4977777777777778";"0.5738461538461539";"0.533611111111111";"0.5392307692307693"
"42";"Antonio José da Silva";"Precipício de Faetonte";"1738";"silva1738.txt";"18th Century";"21248";"2045";"0.09624435240963855";"0.49833333333333335";"0.4911111111111111";"0.5700000000000001";"0.5236111111111111";"0.5153846153846153"
"43";"Luis Antonio Verney";"O Verdadeiro Método de Estudar";"1746";"verney1746.txt";"18th Century";"47818";"2518";"0.052657994897319";"0.44249999999999995";"0.4872222222222222";"0.4546153846153847";"0.45083333333333336";"0.4661538461538462"
"44";"Casimiro de Abreu";"Carolina";"1856";"abreu1856.txt";"19th Century";"5275";"1023";"0.19393364928909954";"0.45083333333333336";"0.44";"0.4771428571428572";"0.55";"0.5223076923076924"
"45";"José de Alencar";"O Guarani";"1857";"alencar1857.txt";"19th Century";"109296";"5475";"0.05009332454984629";"0.4983333333333333";"0.4977777777777778";"0.4892857142857142";"0.6102857142857143";"0.5992307692307693"
"46";"José de Alencar";"Lucíola";"1862";"alencar1862.txt";"19th Century";"46302";"4248";"0.09174549695477517";"0.5325000000000001";"0.5249999999999999";"0.5428571428571428";"0.6517142857142857";"0.6369230769230769"
"47";"José de Alencar";"Iracema";"1865";"alencar1865.txt";"19th Century";"29639";"3070";"0.10357974290630588";"0.42";"0.3761111111111111";"0.3807142857142857";"0.4345714285714286";"0.42076923076923073"
"48";"José de Alencar";"Senhora";"1875";"alencar1875.txt";"19th Century";"78378";"6111";"0.0779683074332083";"0.5091666666666667";"0.5077777777777778";"0.5021428571428571";"0.6182857142857143";"0.6123076923076924"
"49";"Manuel Antonio de Almeida";"Memórias de um Sargento de Milícias";"1852";"almeida1852.txt";"19th Century";"60982";"4273";"0.07006985667902003";"0.545";"0.5377777777777778";"0.5292857142857142";"0.6257142857142858";"0.6538461538461539"
"50";"Castro Alves";"Espumas Flutuantes";"1870";"alves1870.txt";"19th Century";"20016";"2956";"0.14768185451638688";"0.37916666666666665";"0.33944444444444444";"0.3635714285714285";"0.3922857142857143";"0.36153846153846153"
"51";"Álvares de Azevedo";"Noite na Taverna";"1855";"azevedo1855.txt";"19th Century";"18112";"2175";"0.12008613074204948";"0.4083333333333334";"0.39055555555555554";"0.4171428571428572";"0.5054285714285714";"0.4838461538461539"
"52";"Aluísio Azevedo";"A Condeca Vésper ou Memórias de um Condenado";"1882";"azevedo1882.txt";"19th Century";"107578";"6835";"0.06353529532060459";"0.5416666666666666";"0.5188888888888888";"0.5385714285714286";"0.6714285714285714";"0.653076923076923"
"53";"Aluisio Azevedo";"Girandula de Amores ou Mistério da Tijuca";"1882";"azevedo1882b.txt";"19th Century";"95779";"5963";"0.06225790622161434";"0.535";"0.5283333333333334";"0.5349999999999999";"0.6608571428571428";"0.6546153846153845"
"54";"Aluisio Azevedo";"Casa de Pensao";"1884";"azevedo1884.txt";"19th Century";"95873";"6702";"0.06990497846108915";"0.5275000000000001";"0.5172222222222221";"0.515";"0.663142857142857";"0.6569230769230768"
"55";"Aluisio Azevedo";"Filomena Borges";"1884";"azevedo1884b.txt";"19th Century";"53917";"5084";"0.09429308010460523";"0.5608333333333333";"0.5450000000000002";"0.5585714285714286";"0.6714285714285714";"0.6684615384615384"
"56";"Aluisio Azevedo";"O Cortico";"1890";"azevedo1890.txt";"19th Century";"81771";"6253";"0.07646965305548421";"0.5208333333333335";"0.5061111111111111";"0.49214285714285716";"0.6259999999999999";"0.6553846153846153"
"57";"Aluisio Azevedo";"A Mortalha de Alzira";"1894";"azevedo1894.txt";"19th Century";"51573";"4470";"0.08667325926356814";"0.5108333333333333";"0.4911111111111111";"0.5307142857142858";"0.6194285714285714";"0.5915384615384615"
"58";"Aluisio Azevedo";"O Livro de uma Sogra";"1895";"azevedo1895.txt";"19th Century";"53909";"4610";"0.08551447810198669";"0.5508333333333334";"0.5538888888888889";"0.5542857142857143";"0.6348571428571428";"0.6215384615384616"
"59";"Adolfo Caminha";"A Normalista";"1893";"caminha1893.txt";"19th Century";"60880";"5935";"0.0974868593955322";"0.48750000000000004";"0.49";"0.47714285714285715";"0.6154285714285714";"0.6307692307692309"
"60";"Adolfo Caminha";"No País dos Ianques";"1894";"caminha1894.txt";"19th Century";"53335";"3848";"0.07214774538295678";"0.4558333333333333";"0.4494444444444444";"0.42571428571428577";"0.5025714285714287";"0.5053846153846154"
"61";"Adolfo Caminha";"Bom Crioulo";"1895";"caminha1895.txt";"19th Century";"36176";"4431";"0.12248452012383901";"0.4841666666666667";"0.46499999999999997";"0.45071428571428573";"0.5817142857142857";"0.5930769230769231"
"62";"Adolfo Caminha";"Tentacao";"1896";"caminha1896.txt";"19th Century";"40734";"4356";"0.10693769332744145";"0.47083333333333327";"0.46111111111111114";"0.4614285714285714";"0.5948571428571429";"0.5984615384615385"
"63";"Almeida Garrett";"Viagens na Minha Terra";"1846";"garrett1846.txt";"19th Century";"69641";"6094";"0.087505923234876";"0.5599999999999999";"0.5622222222222222";"0.5521428571428572";"0.6257142857142858";"0.6176923076923077"
"64";"José Agostinho de Macedo";"Sermao Contra o Filosofismo do Séeculo XIX";"1811";"macedo1811.txt";"19th Century";"10279";"1386";"0.1348380192625742";"0.44";"0.46444444444444444";"0.4435714285714286";"0.41657142857142854";"0.4146153846153846"
"65";"Joaquim Manuel de Macedo";"A Moreninha";"1844";"macedo1844.txt";"19th Century";"47221";"3687";"0.0780796679443468";"0.5141666666666667";"0.51";"0.53";"0.6174285714285715";"0.6076923076923078"
"66";"Joaquim Manuel de Macedo";"Memórias da Rua do Ouvidor";"1878";"macedo1878.txt";"19th Century";"60088";"5208";"0.08667287977632805";"0.49333333333333335";"0.4955555555555555";"0.4692857142857143";"0.5634285714285714";"0.5761538461538461"
"67";"Machado de Assis";"Helena";"1876";"machado1876.txt";"19th Century";"56735";"4446";"0.07836432537234511";"0.49750000000000005";"0.49888888888888894";"0.4914285714285715";"0.6071428571428571";"0.6046153846153846"
"68";"Machado de Assis";"Iaiá Garcia";"1878";"machado1878.txt";"19th Century";"58661";"4487";"0.07649034281720393";"0.49000000000000005";"0.4961111111111111";"0.5014285714285713";"0.6114285714285715";"0.6084615384615384"
"69";"Machado de Assis";"Memórias Póstumas de Brás Cubas";"1881";"machado1881.txt";"19th Century";"61893";"5587";"0.09026868951254585";"0.5499999999999999";"0.5538888888888889";"0.5557142857142857";"0.6500000000000001";"0.6569230769230768"
"70";"Machado de Assis";"Casa Velha";"1885";"machado1885.txt";"19th Century";"22616";"2366";"0.10461620091970286";"0.5191666666666667";"0.5244444444444444";"0.5321428571428571";"0.6337142857142858";"0.6646153846153845"
"71";"Machado de Assis";"Quincas Borba";"1891";"machado1891.txt";"19th Century";"77979";"5405";"0.06931353313071469";"0.5241666666666666";"0.5316666666666667";"0.52";"0.6308571428571429";"0.6469230769230769"
"72";"Machado de Assis";"Dom Casmurro";"1899";"machado1899.txt";"19th Century";"67001";"4544";"0.0678198832853241";"0.54";"0.5483333333333333";"0.5442857142857143";"0.6328571428571428";"0.6607692307692308"
"73";"Joaquim Nabuco";"O Abolicionismo";"1883";"nabuco1883.txt";"19th Century";"63837";"5043";"0.0789980732177264";"0.42249999999999993";"0.4438888888888889";"0.43500000000000005";"0.44142857142857145";"0.44769230769230767"
"74";"Raul Pompeia";"O Ateneu";"1888";"pompeia1888.txt";"19th Century";"62219";"8674";"0.13941079091595815";"0.47333333333333333";"0.47111111111111126";"0.46071428571428574";"0.5708571428571428";"0.5692307692307692"
"75";"Eca de Queiroz";"O Primo Basílio";"1878";"queiroz1878.txt";"19th Century";"122859";"7124";"0.0579851699916164";"0.48833333333333334";"0.48055555555555557";"0.4764285714285715";"0.6214285714285714";"0.6253846153846154"
"76";"Eca de Queiroz";"A Relíquia";"1887";"queiroz1887.txt";"19th Century";"86614";"7084";"0.08178816357632715";"0.5183333333333333";"0.4961111111111111";"0.48214285714285715";"0.5800000000000001";"0.5646153846153846"
"77";"Eca de Queiroz";"Os Maias";"1888";"queiroz1888.txt";"19th Century";"218011";"9304";"0.04267674566879653";"0.515";"0.5127777777777778";"0.5214285714285715";"0.6342857142857142";"0.6315384615384616"
"78";"Eca de Queiroz";"A Ilustre Casa de Ramires";"1900";"queiroz1900.txt";"19th Century";"106258";"7856";"0.07393325679007698";"0.4383333333333334";"0.4416666666666667";"0.42714285714285716";"0.5205714285714287";"0.5223076923076923"
"79";"Visconde de Taunay";"Inocencia";"1872";"taunay1872.txt";"19th Century";"51472";"5123";"0.09952984146720548";"0.5575";"0.5572222222222222";"0.5592857142857143";"0.6477142857142859";"0.6638461538461538"
"80";"Julia Lopes de Almeida";"A Falencia";"1901";"almeida1901.txt";"20th Century";"73935";"6041";"0.08170690471359979";"0.525";"0.5227777777777778";"0.5328571428571428";"0.6494444444444444";"0.6633333333333333"
"81";"Julia Lopes de Almeida";"A Intrusa";"1905";"almeida1905.txt";"20th Century";"55344";"4803";"0.08678447528187337";"0.5208333333333334";"0.5105555555555554";"0.5535714285714286";"0.6455555555555555";"0.6483333333333333"
"82";"Fialho de Almeida";"Aves Migradoras";"1921";"almeida1921.txt";"20th Century";"163602";"5726";"0.03499957213237002";"0.5";"0.49";"0.47785714285714287";"0.6111111111111112";"0.6"
"83";"Lima Barreto";"O Triste Fim de Policarpo Quaresma";"1915";"barreto1915.txt";"20th Century";"66829";"6449";"0.09650002244534558";"0.5233333333333334";"0.52";"0.49928571428571417";"0.6066666666666667";"0.6441666666666668"
"84";"Lima Barreto";"O Cemitério dos Vivos";"1920";"barreto1920.txt";"20th Century";"48286";"4830";"0.10002899391127863";"0.5366666666666666";"0.5316666666666667";"0.5471428571428573";"0.6219444444444445";"0.6516666666666667"
"85";"Lima Barreto";"Clara dos Anjos";"1948";"barreto1948.txt";"20th Century";"50102";"5175";"0.10328928984870864";"0.5025000000000001";"0.513888888888889";"0.5128571428571429";"0.6024999999999999";"0.645"
"86";"Euclídes da Cunha";"Os Sertoes";"1902";"cunha1902.txt";"20th Century";"155749";"10659";"0.0684370365138781";"0.39666666666666667";"0.38055555555555554";"0.3514285714285714";"0.4144444444444445";"0.4075"
"87";"Santos Dumont";"O Que Eu Vi, o Que Nós Veremos";"1918";"dumont1918.txt";"20th Century";"12630";"1843";"0.1459224069675376";"0.4558333333333333";"0.47555555555555556";"0.43571428571428567";"0.5105555555555554";"0.5133333333333333"
"88";"Machado de Assis";"Esaú e Jacó";"1904";"machado1904.txt";"20th Century";"72711";"4865";"0.06690872082628488";"0.5258333333333333";"0.5394444444444445";"0.5164285714285715";"0.6138888888888889";"0.6333333333333333"
"89";"Machado de Assis";"Memorial de Aires";"1908";"machado1908.txt";"20th Century";"51375";"3309";"0.0644087591240876";"0.5133333333333333";"0.5249999999999999";"0.53";"0.6177777777777778";"0.6291666666666667"
"90";"Antonio de Alcantara Machado";"Brás, Bixiga e Barra Funda";"1927";"machado1927.txt";"20th Century";"10474";"1985";"0.18951689898797022";"0.44083333333333335";"0.4238888888888888";"0.4485714285714285";"0.5391666666666666";"0.5675"
"91";"Antonio de Alcantara Machado";"Mana Maria";"1936";"machado1936.txt";"20th Century";"17830";"2482";"0.13920358945597308";"0.4791666666666667";"0.47555555555555556";"0.48428571428571426";"0.6111111111111112";"0.6333333333333334"
"92";"Lindolfo Rocha";"Maria Dusá";"1910";"rocha1910.txt";"20th Century";"69474";"5658";"0.08144053890664134";"0.5041666666666667";"0.5055555555555554";"0.5085714285714287";"0.6125";"0.6266666666666667"
